group,club_pair,pair_count,purity
Other (Men's),bayer leverkusen ↔ leverkusen,115,0.43478260869565216
Other (Men's),barcelona ↔ rb leipzig,114,0.21929824561403508
Other (Men's),manchester united ↔ porto,114,0.2807017543859649
Other (Men's),inter ↔ milan,114,0.32456140350877194
Other (Men's),blues ↔ crystal palace,114,0.3684210526315789
Other (Men's),man city ↔ tottenham,114,0.38596491228070173
Other (Men's),atletico madrid ↔ juventus,113,0.2920353982300885
Other (Men's),burnley ↔ fulham,113,0.46017699115044247
Other (Men's),brentford ↔ fulham,113,0.4778761061946903
Other (Men's),aston villa ↔ real madrid,113,0.2743362831858407
Other (Men's),ajax ↔ tottenham,112,0.2767857142857143
Other (Men's),benfica ↔ reds,111,0.3153153153153153
Other (Men's),burnley ↔ spurs,111,0.4594594594594595
Other (Men's),hammers ↔ west ham,111,0.3963963963963964
Other (Men's),aston villa ↔ leicester,111,0.38738738738738737
Other (Men's),crystal palace ↔ nottingham forest,110,0.5181818181818182
Other (Men's),barcelona ↔ man city,110,0.24545454545454545
Other (Men's),aston villa ↔ nottingham forest,109,0.5137614678899083
Other (Men's),bayern munich ↔ benfica,109,0.3394495412844037
Other (Men's),chelsea ↔ man utd,109,0.3944954128440367
Other (Men's),chelsea ↔ porto,109,0.25688073394495414
Other (Men's),liverpool ↔ monaco,108,0.2777777777777778
Other (Men's),everton ↔ leicester city,108,0.39814814814814814
Other (Men's),barca ↔ psg,108,0.25925925925925924
Other (Men's),real madrid ↔ roma,107,0.22429906542056074
Other (Men's),bournemouth ↔ crystal palace,107,0.5233644859813084
Other (Men's),bayer leverkusen ↔ bayern,107,0.4766355140186916
Other (Men's),inter ↔ roma,106,0.25471698113207547
Other (Men's),roma ↔ tottenham,106,0.20754716981132076
Other (Men's),bayern ↔ dortmund,106,0.3490566037735849
Other (Men's),inter ↔ psg,106,0.20754716981132076
Other (Men's),brentford ↔ spurs,106,0.44339622641509435
Other (Men's),aston villa ↔ sheffield united,105,0.4666666666666667
Other (Men's),everton ↔ sheffield united,105,0.49523809523809526
Other (Men's),barcelona ↔ brighton,105,0.3523809523809524
Other (Men's),manchester city ↔ roma,105,0.18095238095238095
Other (Men's),everton ↔ newcastle united,105,0.4095238095238095
Other (Men's),aston villa ↔ man city,104,0.40384615384615385
Other (Men's),crystal palace ↔ leicester,104,0.4230769230769231
Other (Men's),liverpool ↔ luton town,104,0.3942307692307692
Other (Men's),brentford ↔ west ham,104,0.4519230769230769
Other (Men's),barca ↔ napoli,104,0.22115384615384615
Other (Men's),aston villa ↔ blues,104,0.38461538461538464
Other (Men's),milan ↔ real madrid,104,0.25961538461538464
Other (Men's),bayern ↔ juventus,104,0.2692307692307692
Other (Men's),liverpool ↔ wolves,103,0.4174757281553398
Other (Men's),barcelona ↔ porto,103,0.2621359223300971
Other (Men's),burnley ↔ sheffield united,103,0.4854368932038835
Other (Men's),manchester united ↔ milan,103,0.21359223300970873
Other (Men's),brighton ↔ real madrid,103,0.2912621359223301
Other (Men's),arsenal ↔ sheffield united,103,0.4854368932038835
Other (Men's),fulham ↔ tottenham,102,0.47058823529411764
Other (Men's),psg ↔ tottenham,102,0.24509803921568626
Other (Men's),brighton ↔ fulham,101,0.504950495049505
Other (Men's),luton town ↔ manchester city,101,0.39603960396039606
Other (Men's),monaco ↔ real madrid,101,0.22772277227722773
Other (Men's),porto ↔ real madrid,101,0.25742574257425743
Other (Men's),barcelona ↔ bayer leverkusen,101,0.26732673267326734
Other (Men's),barcelona ↔ benfica,100,0.3
Other (Men's),man city ↔ real madrid,100,0.31
Other (Men's),barcelona ↔ lyon,100,0.21
Other (Men's),ajax ↔ juventus,99,0.26262626262626265
Other (Men's),barcelona ↔ lazio,99,0.1717171717171717
Other (Men's),ac milan ↔ manchester city,99,0.21212121212121213
Other (Men's),chelsea ↔ milan,98,0.23469387755102042
Other (Men's),everton ↔ man city,98,0.42857142857142855
Other (Men's),barca ↔ juventus,98,0.24489795918367346
Other (Men's),barcelona ↔ newcastle united,98,0.24489795918367346
Other (Men's),brighton ↔ reds,98,0.4387755102040816
Other (Men's),everton ↔ gunners,98,0.4489795918367347
Other (Men's),fulham ↔ nottingham forest,98,0.5
Other (Men's),lille ↔ paris saint-germain,98,0.29591836734693877
Other (Men's),benfica ↔ real madrid,97,0.30927835051546393
Other (Men's),burnley ↔ leicester,97,0.3917525773195876
Other (Men's),barcelona ↔ monaco,97,0.18556701030927836
Other (Men's),newcastle ↔ paris saint-germain,97,0.24742268041237114
Other (Men's),aston villa ↔ newcastle united,97,0.4329896907216495
Other (Men's),newcastle united ↔ tottenham,97,0.35051546391752575
Other (Men's),lazio ↔ manchester united,95,0.21052631578947367
Other (Men's),monaco ↔ psg,95,0.2
Other (Men's),blues ↔ inter,95,0.3368421052631579
Other (Men's),chelsea ↔ luton,95,0.45263157894736844
Other (Men's),manchester city ↔ milan,95,0.24210526315789474
Other (Men's),borussia dortmund ↔ psg,95,0.18947368421052632
Other (Men's),arsenal ↔ inter,95,0.23157894736842105
Other (Men's),manchester united ↔ rb leipzig,95,0.29473684210526313
Other (Men's),manchester city ↔ wolves,94,0.39361702127659576
Other (Men's),fiorentina ↔ juventus,94,0.2872340425531915
Other (Men's),chelsea ↔ dortmund,94,0.24468085106382978
Other (Men's),barcelona ↔ leicester,94,0.2978723404255319
