file,source,gold_count,spacy_person_count,tp,fn,fp,model
Reports/BBC/35_GEO_POR.json,Reports,13,12,12,1,0,en_core_web_lg
Reports/BBC/36_CZE_TUR.json,Reports,9,9,9,0,0,en_core_web_lg
Reports/BBC/37_GER_DEN.json,Reports,24,25,24,0,1,en_core_web_lg
Reports/BBC/38_SUI_ITA.json,Reports,16,17,14,2,3,en_core_web_lg
Reports/BBC/39_ESP_GEO.json,Reports,18,21,16,2,5,en_core_web_lg
Reports/BBC/40_ENG_SVK.json,Reports,31,34,29,2,5,en_core_web_lg
Reports/BBC/41_POR_SVN.json,Reports,27,23,23,4,0,en_core_web_lg
Reports/BBC/42_FRA_BEL.json,Reports,12,10,10,2,0,en_core_web_lg
Reports/BBC/43_ROU_NED.json,Reports,12,9,9,3,0,en_core_web_lg
Reports/BBC/44_AUT_TUR.json,Reports,26,23,23,3,0,en_core_web_lg
Reports/BBC/45_ESP_GER.json,Reports,23,23,22,1,1,en_core_web_lg
Reports/BBC/46_POR_FRA.json,Reports,29,26,22,7,4,en_core_web_lg
Reports/BBC/47_NED_TUR.json,Reports,26,25,20,6,5,en_core_web_lg
Reports/BBC/48_ENG_SUI.json,Reports,36,36,31,5,5,en_core_web_lg
Reports/BBC/49_ESP_FRA.json,Reports,0,24,0,0,24,en_core_web_lg
Reports/BBC/50_NED_ENG.json,Reports,0,12,0,0,12,en_core_web_lg
Reports/BBC/51_ESP_ENG.json,Reports,48,42,40,8,2,en_core_web_lg
Games/BBC/05_SRB_ENG_first_half.json,Games,231,247,208,23,39,en_core_web_lg
Games/BBC/05_SRB_ENG_second_half.json,Games,312,332,298,14,34,en_core_web_lg
Games/BBC/07_POL_NED_first_half.json,Games,132,144,107,25,37,en_core_web_lg
Games/BBC/07_POL_NED_second_half.json,Games,130,143,104,26,39,en_core_web_lg
Games/BBC/08_AUT_FRA_first_half.json,Games,171,203,145,26,58,en_core_web_lg
Games/BBC/08_AUT_FRA_second_half.json,Games,235,247,203,32,44,en_core_web_lg
Games/BBC/10_ROU_UKR_first_half.json,Games,176,227,140,36,87,en_core_web_lg
Games/BBC/10_ROU_UKR_second_half.json,Games,179,222,157,22,65,en_core_web_lg
Games/BBC/11_TUR_GEO_first_half.json,Games,87,154,66,21,88,en_core_web_lg
Games/BBC/11_TUR_GEO_second_half.json,Games,72,110,59,13,51,en_core_web_lg
Games/BBC/12_POR_CZE_first_half.json,Games,115,126,97,18,29,en_core_web_lg
Games/BBC/12_POR_CZE_second_half.json,Games,113,132,104,9,28,en_core_web_lg
Games/BBC/13_SCO_SUI_first_half.json,Games,201,221,183,18,38,en_core_web_lg
Games/BBC/13_SCO_SUI_second_half.json,Games,45,58,40,5,18,en_core_web_lg
Games/BBC/14_GER_HUN_first_half.json,Games,199,215,172,27,43,en_core_web_lg
Games/BBC/14_GER_HUN_second_half.json,Games,181,189,144,37,45,en_core_web_lg
Games/BBC/17_DEN_ENG_first_half.json,Games,235,258,219,16,39,en_core_web_lg
Games/BBC/17_DEN_ENG_second_half.json,Games,215,255,201,14,54,en_core_web_lg
Games/BBC/20_NED_FRA_first_half.json,Games,209,210,173,36,37,en_core_web_lg
Games/BBC/20_NED_FRA_second_half.json,Games,184,188,153,31,35,en_core_web_lg
Games/BBC/21_SVK_UKR_first_half.json,Games,81,154,73,8,81,en_core_web_lg
Games/BBC/21_SVK_UKR_second_half.json,Games,87,153,80,7,73,en_core_web_lg
Games/BBC/24_GEO_CZE_first_half.json,Games,80,130,72,8,58,en_core_web_lg
Games/BBC/24_GEO_CZE_second_half.json,Games,69,118,62,7,56,en_core_web_lg
Games/BBC/25_SUI_GER_first_half.json,Games,129,150,112,17,38,en_core_web_lg
Games/BBC/25_SUI_GER_second_half.json,Games,120,154,104,16,50,en_core_web_lg
Games/BBC/26_SCO_HUN_first_half.json,Games,36,34,30,6,4,en_core_web_lg
Games/BBC/26_SCO_HUN_second_half.json,Games,310,354,294,16,60,en_core_web_lg
Games/BBC/27_ALB_ESP_first_half.json,Games,142,185,131,11,54,en_core_web_lg
Games/BBC/27_ALB_ESP_second_half.json,Games,139,207,134,5,73,en_core_web_lg
Games/BBC/28_CRO_ITA_first_half.json,Games,151,203,149,2,54,en_core_web_lg
Games/BBC/28_CRO_ITA_second_half.json,Games,160,202,146,14,56,en_core_web_lg
Games/BBC/29_ENG_SVN_first_half.json,Games,227,265,216,11,49,en_core_web_lg
Games/BBC/29_ENG_SVN_second_half.json,Games,275,305,252,23,53,en_core_web_lg
Games/BBC/31_NED_AUT_first_half.json,Games,135,185,114,21,71,en_core_web_lg
Games/BBC/31_NED_AUT_second_half.json,Games,125,193,108,17,85,en_core_web_lg
Games/BBC/32_FRA_POL_first_half.json,Games,147,180,125,22,55,en_core_web_lg
Games/BBC/32_FRA_POL_second_half.json,Games,165,193,139,26,54,en_core_web_lg
Games/BBC/33_SVK_ROU_first_half.json,Games,98,137,89,9,48,en_core_web_lg
Games/BBC/33_SVK_ROU_second_half.json,Games,89,144,75,14,69,en_core_web_lg
Games/BBC/34_UKR_BEL_first_half.json,Games,207,258,187,20,71,en_core_web_lg
Games/BBC/34_UKR_BEL_second_half.json,Games,138,158,126,12,32,en_core_web_lg
Games/BBC/36_CZE_TUR_first_half.json,Games,64,112,56,8,56,en_core_web_lg
Games/BBC/36_CZE_TUR_second_half.json,Games,101,139,85,16,54,en_core_web_lg
Games/BBC/37_GER_DEN_first_half.json,Games,165,196,147,18,49,en_core_web_lg
Games/BBC/37_GER_DEN_second_half.json,Games,59,66,52,7,14,en_core_web_lg
Games/BBC/38_SUI_ITA_first_half.json,Games,133,157,119,14,38,en_core_web_lg
Games/BBC/38_SUI_ITA_second_half.json,Games,116,142,109,7,33,en_core_web_lg
Games/BBC/40_ENG_SVK_first_half.json,Games,234,259,222,12,37,en_core_web_lg
Games/BBC/40_ENG_SVK_second_half.json,Games,402,453,393,9,60,en_core_web_lg
Games/BBC/41_POR_SVN_first_half.json,Games,166,211,150,16,61,en_core_web_lg
Games/BBC/41_POR_SVN_second_half.json,Games,29,36,25,4,11,en_core_web_lg
Games/BBC/42_FRA_BEL_first_half.json,Games,205,206,168,37,38,en_core_web_lg
Games/BBC/42_FRA_BEL_second_half.json,Games,243,238,193,50,45,en_core_web_lg
Games/BBC/43_ROU_NED_first_half.json,Games,217,212,159,58,53,en_core_web_lg
Games/BBC/43_ROU_NED_second_half.json,Games,188,211,140,48,71,en_core_web_lg
Games/BBC/44_AUT_TUR_first_half.json,Games,88,129,80,8,49,en_core_web_lg
Games/BBC/44_AUT_TUR_second_half.json,Games,88,151,78,10,73,en_core_web_lg
Games/BBC/45_ESP_GER_first_half.json,Games,113,151,93,20,58,en_core_web_lg
Games/BBC/45_ESP_GER_second_half.json,Games,197,266,173,24,93,en_core_web_lg
Games/BBC/46_POR_FRA_first_half.json,Games,227,257,194,33,63,en_core_web_lg
Games/BBC/46_POR_FRA_second_half.json,Games,416,438,336,80,102,en_core_web_lg
Games/BBC/48_ENG_SUI_first_half.json,Games,187,225,175,12,50,en_core_web_lg
Games/BBC/48_ENG_SUI_second_half.json,Games,483,575,465,18,110,en_core_web_lg
Games/BBC/49_ESP_FRA_first_half.json,Games,201,201,159,42,42,en_core_web_lg
Games/BBC/49_ESP_FRA_second_half.json,Games,449,466,369,80,97,en_core_web_lg
Games/BBC/50_NED_ENG_first_half.json,Games,232,236,198,34,38,en_core_web_lg
Games/BBC/50_NED_ENG_second_half.json,Games,239,271,223,16,48,en_core_web_lg
Games/BBC/51_ESP_ENG_first_half.json,Games,281,307,257,24,50,en_core_web_lg
Games/BBC/51_ESP_ENG_second_half.json,Games,226,247,206,20,41,en_core_web_lg
